"","lod"
"1",3.21304444940688
"2",2.7389334823747
"3",2.44565652149868
"4",2.15586422843262
"5",2.97503802688698
"6",2.83546474661307
"7",2.32727435949164
"8",2.06432288003452
"9",2.87196919173584
"10",2.76172617922202
"11",1.93732376081607
"12",2.29377367136476
"13",2.47194356081309
"14",1.99642415895141
"15",2.90663559803397
"16",2.66033691013035
"17",3.59181131229343
"18",2.26757907582032
"19",2.39383854561493
"20",3.54828142202678
"21",1.95305606633156
"22",2.18158052293984
"23",2.36220878093263
"24",2.2677328649479
"25",2.7202519167131
"26",2.15768226456203
"27",1.73656434308941
"28",2.48730095874271
"29",3.2413651328643
"30",1.75414034427195
"31",3.54183089856451
"32",2.70246846031296
"33",2.49198184371744
"34",2.82724591462647
"35",4.33495684246009
"36",2.29024628399202
"37",2.62341389679204
"38",2.24262901702059
"39",2.52855980711684
"40",2.43248594655415
"41",1.75836252007139
"42",1.73022146119183
"43",2.61585614237447
"44",2.24338468119277
"45",2.09955375697427
"46",2.28796907856486
"47",1.89967267205429
"48",3.15968755164613
"49",2.77632080094736
"50",2.64602108007421
"51",2.18698294839669
"52",2.08463441304593
"53",2.09285541172903
"54",2.80057171241424
"55",2.50623886191534
"56",2.43693387422354
"57",2.2843362762269
"58",2.59745894662228
"59",2.21886277384692
"60",2.04520072972446
"61",2.63422719842129
"62",3.91717707775751
"63",2.8859638980648
"64",2.7639158632519
"65",2.55214312378848
"66",2.27937336387731
"67",3.00567851361302
"68",4.12119858624283
"69",2.67208295659293
"70",2.01358943250852
"71",2.24837475216373
"72",3.59003684507843
"73",2.77106759524759
"74",2.01703931588781
"75",4.11955673845659
"76",3.00550000413023
"77",2.32889193381197
"78",3.19919009696787
"79",1.8190566993344
"80",3.31610982818165
"81",2.67149180271008
"82",2.45370265313068
"83",2.71258389141076
"84",2.52364135788957
"85",1.61211775525408
"86",2.48021365694331
"87",3.46328927575996
"88",2.51016313252876
"89",2.27951900075095
"90",2.2132451795751
"91",2.66141052770945
"92",2.06561288808916
"93",3.37398075051351
"94",1.98616512131957
"95",2.31956123553209
"96",2.70024012278373
"97",1.55590540750927
"98",1.71274901013749
"99",3.70907552639619
"100",2.2140860638865
"101",2.74952156253676
"102",2.74151850878116
"103",2.55333210681965
"104",2.65226564066324
"105",3.06985101761347
"106",2.06966615542115
"107",2.53469406322802
"108",3.07955861727896
"109",3.331645633074
"110",3.4695108826636
"111",3.64180808087622
"112",1.90734489983697
"113",2.563037299813
"114",2.59723564492742
"115",2.22435472299003
"116",1.7891655659987
"117",3.33474404931439
"118",2.03229321668914
"119",3.09009051598332
"120",2.33035428064977
"121",2.27630303360274
"122",2.50684147375432
"123",2.42723914498129
"124",1.85384347683976
"125",2.58027356743878
"126",3.61864686680201
"127",2.26970437529599
"128",2.9618636998548
"129",2.7415682391711
"130",2.23908236572788
"131",2.83205258990711
"132",4.69940657411098
"133",2.13159521096532
"134",6.5870585110988
"135",2.36072926452835
"136",3.66236372216008
"137",2.90570067454428
"138",2.87871155440916
"139",2.13037466687638
"140",3.94226354521925
"141",2.5063653722882
"142",2.248091576972
"143",1.87536853248821
"144",2.75566592333053
"145",2.34690758350007
"146",2.09699237588939
"147",3.61120324653893
"148",1.96989554371066
"149",2.5866414430493
"150",3.04878032886336
"151",3.04795801183718
"152",2.66969321953729
"153",3.63281752869807
"154",2.37988845565815
"155",1.96612567719058
"156",2.50703334476384
"157",2.0583564937624
"158",3.30515308848226
"159",2.55334035758824
"160",2.45672449360063
"161",2.04295107326288
"162",2.59111839586512
"163",2.42169265989651
"164",3.64050993776073
"165",2.56262872726438
"166",3.17486545334395
"167",2.35022699255933
"168",2.77670316424519
"169",2.33984230453461
"170",3.07591915530429
"171",2.64343827116681
"172",2.42445594649689
"173",2.28171114445104
"174",2.45542260704497
"175",2.15395298671865
"176",1.83529668435949
"177",1.95953687649671
"178",2.31251870183769
"179",2.11887087252035
"180",2.28601842964599
"181",2.25412382751892
"182",2.71036478246242
"183",3.21614178845812
"184",4.2372568402443
"185",2.27782050156748
"186",2.51370226120525
"187",3.61412887227198
"188",2.98176315351338
"189",2.24920184287294
"190",2.78845225213627
"191",3.70994314948621
"192",2.28451689448593
"193",2.22701088203576
"194",2.92541250142676
"195",2.40780127206017
"196",2.72481880313353
"197",2.17169803872821
"198",3.11069642743496
"199",3.04580483035897
"200",2.59308647205762
"201",2.30246618937963
"202",2.05898032124605
"203",2.10350167147953
"204",4.06134580933212
"205",3.12633433447081
"206",3.87275286540716
"207",3.62993929631739
"208",2.08586319549977
"209",3.26684362651577
"210",1.62648391642324
"211",2.23538752572131
"212",2.74479968606283
"213",3.00402846283396
"214",2.32580163953935
"215",2.28992417268819
"216",4.8914182108656
"217",3.45935603101498
"218",2.94154869883459
"219",2.50479398191783
"220",2.27937996424225
"221",2.50156208612134
"222",1.91393354996944
"223",3.52502391647795
"224",2.52002294528393
"225",2.1585009558512
"226",2.40888335828276
