,id,sex_gen_resid
0,44902,-459.6011442707386
1,51202,-11.601144270738587
2,120502,142.5838395263903
3,48402,-23.416160473609693
4,41402,12.583839526390307
5,130502,-144.6011442707386
6,59402,-173.6011442707386
7,105602,-108.60114427073859
8,71702,-27.416160473609693
9,96702,146.3988557292614
10,141002,23.583839526390307
11,43002,-44.41616047360969
12,117502,285.3988557292614
13,102902,-59.41616047360969
14,100902,55.39885572926141
15,52802,112.39885572926141
16,109902,-100.60114427073859
17,58802,140.3988557292614
18,53702,172.5838395263903
19,37902,106.5838395263903
20,106702,12.398855729261413
21,76602,44.39885572926141
24,104302,32.39885572926141
25,129202,-34.60114427073859
26,145502,343.5838395263903
27,127202,-93.4161604736097
28,104802,-410.4161604736097
29,103002,1.5838395263903067
30,50002,98.39885572926141
32,45102,-200.4161604736097
33,94002,68.39885572926141
35,108902,-56.41616047360969
36,142402,16.583839526390307
37,70102,-270.4161604736097
38,70402,-355.4161604736097
39,50502,145.5838395263903
40,80502,305.3988557292614
41,104002,230.5838395263903
42,104402,356.3988557292614
43,131402,-144.6011442707386
44,81402,-96.4161604736097
45,62602,-57.60114427073859
46,61102,18.583839526390307
47,74102,152.3988557292614
48,81602,57.39885572926141
49,124402,20.583839526390307
50,108702,81.5838395263903
51,38002,77.5838395263903
52,98802,238.5838395263903
53,115302,136.3988557292614
54,99702,61.58383952639031
57,93202,-69.4161604736097
58,116102,280.3988557292614
59,56602,260.5838395263903
60,122802,-177.6011442707386
61,127702,117.39885572926141
62,129802,187.5838395263903
63,98202,199.5838395263903
65,67702,75.5838395263903
66,82502,-148.4161604736097
67,68702,-117.60114427073859
68,131602,-222.6011442707386
69,106202,-93.4161604736097
70,140602,-54.41616047360969
71,110902,267.3988557292614
72,85002,44.39885572926141
73,35502,-5.601144270738587
74,97602,258.3988557292614
75,91702,-255.4161604736097
76,78602,182.3988557292614
77,100802,95.5838395263903
79,118102,30.398855729261413
80,63002,41.58383952639031
81,108502,112.39885572926141
82,56802,91.5838395263903
83,110602,-54.60114427073859
84,82702,-257.4161604736097
85,85102,85.5838395263903
87,69602,-221.4161604736097
89,105202,-120.4161604736097
90,113902,41.39885572926141
91,58902,113.5838395263903
92,55202,167.3988557292614
93,35102,274.3988557292614
94,40702,42.39885572926141
95,44002,-134.4161604736097
96,48302,112.5838395263903
97,72402,62.58383952639031
98,132202,-216.6011442707386
99,69802,-146.4161604736097
100,49202,-151.6011442707386
101,139202,-102.4161604736097
102,93602,-61.60114427073859
103,69302,-12.601144270738587
104,80202,14.398855729261413
105,60302,237.3988557292614
106,94502,-146.4161604736097
107,85502,164.3988557292614
108,57702,167.5838395263903
110,118302,109.5838395263903
111,128402,-40.60114427073859
112,118702,206.5838395263903
113,85402,35.58383952639031
114,139002,102.5838395263903
115,88702,21.398855729261413
116,73602,-424.4161604736097
117,139102,280.5838395263903
118,94802,-84.4161604736097
119,39902,120.39885572926141
120,83302,-273.4161604736097
121,66302,-61.41616047360969
122,125802,-77.4161604736097
123,112202,139.3988557292614
124,80302,87.39885572926141
125,103902,131.3988557292614
126,96102,-76.60114427073859
127,99502,162.3988557292614
129,42802,-19.416160473609693
130,66602,29.398855729261413
131,101302,-243.4161604736097
132,98302,140.5838395263903
133,96202,-67.4161604736097
134,95802,212.3988557292614
135,139702,-113.4161604736097
136,65102,243.3988557292614
137,64402,-16.416160473609693
138,41702,-167.6011442707386
139,117102,19.398855729261413
140,101702,-131.6011442707386
141,68602,47.58383952639031
142,143202,259.3988557292614
143,68902,-5.601144270738587
144,85602,47.58383952639031
145,110502,-63.41616047360969
146,56102,479.3988557292614
147,105502,-279.4161604736097
148,37202,-246.4161604736097
149,50202,77.39885572926141
150,57902,108.5838395263903
151,124102,-193.4161604736097
152,56502,120.39885572926141
153,72602,31.398855729261413
154,94302,85.5838395263903
155,95702,-167.4161604736097
156,101502,-63.60114427073859
157,81702,130.5838395263903
158,67602,57.58383952639031
159,99602,75.39885572926141
160,146902,-108.60114427073859
161,62902,-45.41616047360969
162,74202,-86.4161604736097
163,104602,133.5838395263903
164,60002,-8.416160473609693
166,64202,199.3988557292614
167,72202,223.3988557292614
168,135102,-49.41616047360969
169,84902,7.583839526390307
170,77202,-99.60114427073859
171,143002,62.58383952639031
172,142002,228.3988557292614
173,114902,-29.601144270738587
174,67102,231.3988557292614
175,39002,440.5838395263903
176,105102,-329.4161604736097
178,80102,-26.416160473609693
179,130802,50.39885572926141
180,52502,-145.6011442707386
181,100002,132.5838395263903
182,108402,-34.60114427073859
183,120602,-29.601144270738587
184,107102,112.5838395263903
185,109502,265.3988557292614
186,38302,-78.60114427073859
187,86202,-25.416160473609693
188,44102,-230.4161604736097
189,93502,-260.4161604736097
190,138402,-370.4161604736097
191,63802,-27.601144270738587
192,54802,25.398855729261413
193,122402,-7.416160473609693
194,48902,-9.416160473609693
196,111602,102.39885572926141
197,52002,-86.60114427073859
198,76502,-156.6011442707386
199,137402,245.3988557292614
201,58202,42.39885572926141
202,37102,-35.60114427073859
203,52902,-244.4161604736097
204,40002,-53.60114427073859
205,118902,-90.60114427073859
206,68802,191.5838395263903
207,87402,-77.4161604736097
208,135002,100.5838395263903
209,74302,59.39885572926141
210,87802,84.39885572926141
211,59302,-26.416160473609693
212,119102,116.5838395263903
213,68002,191.5838395263903
214,136302,7.583839526390307
215,132802,-0.4161604736096933
216,138302,73.5838395263903
217,88802,48.58383952639031
218,90802,-192.4161604736097
219,113402,104.39885572926141
220,100602,-30.416160473609693
222,102402,81.5838395263903
223,65902,-243.6011442707386
224,143402,-100.4161604736097
225,141902,153.3988557292614
226,72902,21.398855729261413
227,134402,163.5838395263903
228,107202,-117.60114427073859
229,137702,239.5838395263903
230,84202,145.5838395263903
231,83502,87.5838395263903
232,116902,189.3988557292614
233,129702,-230.4161604736097
234,63902,-196.6011442707386
235,35202,-12.416160473609693
237,132902,-161.4161604736097
238,41002,211.5838395263903
239,131302,-159.6011442707386
240,142102,120.5838395263903
241,38602,-93.4161604736097
242,78402,28.398855729261413
243,60402,-262.4161604736097
244,115602,13.583839526390307
245,135402,-158.6011442707386
246,118002,157.3988557292614
247,143602,82.39885572926141
248,122202,77.39885572926141
249,98902,-95.60114427073859
250,73302,-93.4161604736097
251,109602,-103.4161604736097
252,44202,-194.6011442707386
253,35902,106.5838395263903
254,102302,-276.6011442707386
255,107802,180.5838395263903
256,56402,203.5838395263903
257,60602,71.5838395263903
258,41302,-228.6011442707386
259,117902,193.5838395263903
260,86602,174.3988557292614
261,35002,196.3988557292614
262,63302,354.3988557292614
263,58502,12.583839526390307
264,53202,-78.4161604736097
265,76402,-15.416160473609693
266,72302,-296.4161604736097
267,88402,-7.416160473609693
268,116402,2.5838395263903067
269,103402,-49.41616047360969
270,44602,-27.416160473609693
273,59802,27.398855729261413
274,118502,35.58383952639031
275,46102,-22.416160473609693
276,98402,299.3988557292614
277,130602,-345.4161604736097
278,123302,-60.41616047360969
279,79702,69.5838395263903
280,56902,143.5838395263903
281,90002,49.58383952639031
282,77602,43.39885572926141
283,108302,-91.60114427073859
284,41102,-12.601144270738587
285,72802,-401.6011442707386
286,81102,119.5838395263903
287,57102,28.398855729261413
288,36802,3.5838395263903067
289,36402,71.39885572926141
290,91302,-51.60114427073859
292,65502,-54.60114427073859
293,70302,-417.4161604736097
294,130902,-217.4161604736097
295,73902,181.5838395263903
296,66202,-24.416160473609693
297,116702,-214.4161604736097
298,122702,23.398855729261413
300,64002,112.39885572926141
301,119602,-90.4161604736097
302,77502,-3.4161604736096933
303,44502,107.5838395263903
304,93802,184.5838395263903
305,53602,-134.6011442707386
306,84302,153.3988557292614
307,103102,132.3988557292614
308,50102,-77.60114427073859
309,133902,-260.6011442707386
310,135202,27.583839526390307
311,81902,125.5838395263903
313,110302,-55.41616047360969
314,54602,217.3988557292614
315,60502,95.39885572926141
316,40502,22.583839526390307
