"","x"
"Intercept",588.388844703451
"SEX",152.197498752043
"GENERATION",-4.24375106494946
"1@84.2a",14.1308105526593
"1@84.2d",2.28574373111505
"1@164.2a",2.84490393458154
"1@164.2d",-15.3286917842944
"1@401.7a",25.688202806291
"1@401.7d",-2.53632652873826
"2@216.0a",2.92631079643653
"2@216.0d",-0.621476668219407
"2@327.2a",10.9730273973938
"2@327.2d",-7.47558068212587
"3@141.7a",12.3783961712535
"3@141.7d",-5.23182067261177
"4@49.5a",16.7502536847364
"4@49.5d",2.21346811762755
"6@0.0a",-7.40546685652555
"6@0.0d",10.830799737993
"6@78.1a",12.7267236945812
"6@78.1d",-4.53329946685415
"7@50.2a",26.0475549612693
"7@50.2d",5.46623614251169
"8@21.7a",3.39708301655491
"8@21.7d",-1.93480840949917
"8@91.2a",6.32109655523114
"8@91.2d",9.39055087662693
"9@0.7a",-5.00032224586575
"9@0.7d",2.485676602206
"10@20.5a",8.19799059110515
"10@20.5d",10.1856943084842
"12@7.5a",-12.153737131987
"12@7.5d",2.05609883719433
"13@4.3a",8.76494003099272
"13@4.3d",7.60861596789871
"14@22.9a",9.23274492590654
"14@22.9d",3.77987869752822
"16@9.0a",20.5100956917913
"16@9.0d",9.04443482264757
"21@3.1a",13.812143714853
"21@3.1d",-7.03451984294084
"23@0.0a",2.60425647973436
"23@0.0d",-14.1726514002338
"27@0.0a",-2.1070945596886
"27@0.0d",12.9185510263619
"29@0.0a",-1.24485993828439
"29@0.0d",-26.8153803762198
