,id,sex_gen_resid
0,44902,-459.553656633268
1,51202,-11.55365663326802
2,120502,142.58765640484296
3,48402,-23.41234359515704
4,41402,12.58765640484296
5,130502,-144.55365663326802
6,59402,-173.55365663326802
7,105602,-108.55365663326802
8,71702,-27.41234359515704
9,96702,146.44634336673198
10,141002,23.58765640484296
11,43002,-44.41234359515704
12,117502,285.446343366732
13,102902,-59.41234359515704
14,100902,55.44634336673198
15,52802,112.44634336673198
16,109902,-100.55365663326802
17,58802,140.44634336673198
18,53702,172.58765640484296
19,37902,106.58765640484296
20,106702,12.44634336673198
21,76602,44.44634336673198
24,104302,32.44634336673198
25,129202,-34.55365663326802
26,145502,343.58765640484296
27,127202,-93.41234359515704
28,104802,-410.41234359515704
29,103002,1.58765640484296
30,50002,98.44634336673198
32,45102,-200.41234359515704
33,94002,68.44634336673198
35,108902,-56.41234359515704
36,142402,16.58765640484296
37,70102,-270.41234359515704
38,70402,-355.41234359515704
39,50502,145.58765640484296
40,80502,305.446343366732
41,104002,230.58765640484296
42,104402,356.446343366732
43,131402,-144.55365663326802
44,81402,-96.41234359515704
45,62602,-57.55365663326802
46,61102,18.58765640484296
47,74102,152.44634336673198
48,81602,57.44634336673198
49,124402,20.58765640484296
50,108702,81.58765640484296
51,38002,77.58765640484296
52,98802,238.58765640484296
53,115302,136.44634336673198
54,99702,61.58765640484296
57,93202,-69.41234359515704
58,116102,280.446343366732
59,56602,260.58765640484296
60,122802,-177.55365663326802
61,127702,117.44634336673198
62,129802,187.58765640484296
63,98202,199.58765640484296
65,67702,75.58765640484296
66,82502,-148.41234359515704
67,68702,-117.55365663326802
68,131602,-222.55365663326802
69,106202,-93.41234359515704
70,140602,-54.41234359515704
71,110902,267.446343366732
72,85002,44.44634336673198
73,35502,-5.5536566332680195
74,97602,258.446343366732
75,91702,-255.41234359515704
76,78602,182.44634336673198
77,100802,95.58765640484296
79,118102,30.44634336673198
80,63002,41.58765640484296
81,108502,112.44634336673198
82,56802,91.58765640484296
83,110602,-54.55365663326802
84,82702,-257.41234359515704
85,85102,85.58765640484296
87,69602,-221.41234359515704
89,105202,-120.41234359515704
90,113902,41.44634336673198
91,58902,113.58765640484296
92,55202,167.44634336673198
93,35102,274.446343366732
94,40702,42.44634336673198
95,44002,-134.41234359515704
96,48302,112.58765640484296
97,72402,62.58765640484296
98,132202,-216.55365663326802
99,69802,-146.41234359515704
100,49202,-151.55365663326802
101,139202,-102.41234359515704
102,93602,-61.55365663326802
103,69302,-12.55365663326802
104,80202,14.44634336673198
105,60302,237.44634336673198
106,94502,-146.41234359515704
107,85502,164.44634336673198
108,57702,167.58765640484296
110,118302,109.58765640484296
111,128402,-40.55365663326802
112,118702,206.58765640484296
113,85402,35.58765640484296
114,139002,102.58765640484296
115,88702,21.44634336673198
116,73602,-424.41234359515704
117,139102,280.58765640484296
118,94802,-84.41234359515704
119,39902,120.44634336673198
120,83302,-273.41234359515704
121,66302,-61.41234359515704
122,125802,-77.41234359515704
123,112202,139.44634336673198
124,80302,87.44634336673198
125,103902,131.44634336673198
126,96102,-76.55365663326802
127,99502,162.44634336673198
129,42802,-19.41234359515704
130,66602,29.44634336673198
131,101302,-243.41234359515704
132,98302,140.58765640484296
133,96202,-67.41234359515704
134,95802,212.44634336673198
135,139702,-113.41234359515704
136,65102,243.44634336673198
137,64402,-16.41234359515704
138,41702,-167.55365663326802
139,117102,19.44634336673198
140,101702,-131.55365663326802
141,68602,47.58765640484296
142,143202,259.446343366732
143,68902,-5.5536566332680195
144,85602,47.58765640484296
145,110502,-63.41234359515704
146,56102,479.446343366732
147,105502,-279.41234359515704
148,37202,-246.41234359515704
149,50202,77.44634336673198
150,57902,108.58765640484296
151,124102,-193.41234359515704
152,56502,120.44634336673198
153,72602,31.44634336673198
154,94302,85.58765640484296
155,95702,-167.41234359515704
156,101502,-63.55365663326802
157,81702,130.58765640484296
158,67602,57.58765640484296
159,99602,75.44634336673198
160,146902,-108.55365663326802
161,62902,-45.41234359515704
162,74202,-86.41234359515704
163,104602,133.58765640484296
164,60002,-8.41234359515704
166,64202,199.44634336673198
167,72202,223.44634336673198
168,135102,-49.41234359515704
169,84902,7.58765640484296
170,77202,-99.55365663326802
171,143002,62.58765640484296
172,142002,228.44634336673198
173,114902,-29.55365663326802
174,67102,231.44634336673198
175,39002,440.58765640484296
176,105102,-329.41234359515704
178,80102,-26.41234359515704
179,130802,50.44634336673198
180,52502,-145.55365663326802
181,100002,132.58765640484296
182,108402,-34.55365663326802
183,120602,-29.55365663326802
184,107102,112.58765640484296
185,109502,265.446343366732
186,38302,-78.55365663326802
187,86202,-25.41234359515704
188,44102,-230.41234359515704
189,93502,-260.41234359515704
190,138402,-370.41234359515704
191,63802,-27.55365663326802
192,54802,25.44634336673198
193,122402,-7.41234359515704
194,48902,-9.41234359515704
196,111602,102.44634336673198
197,52002,-86.55365663326802
198,76502,-156.55365663326802
199,137402,245.44634336673198
201,58202,42.44634336673198
202,37102,-35.55365663326802
203,52902,-244.41234359515704
204,40002,-53.55365663326802
205,118902,-90.55365663326802
206,68802,191.58765640484296
207,87402,-77.41234359515704
208,135002,100.58765640484296
209,74302,59.44634336673198
210,87802,84.44634336673198
211,59302,-26.41234359515704
212,119102,116.58765640484296
213,68002,191.58765640484296
214,136302,7.58765640484296
215,132802,-0.41234359515704
216,138302,73.58765640484296
217,88802,48.58765640484296
218,90802,-192.41234359515704
219,113402,104.44634336673198
220,100602,-30.41234359515704
222,102402,81.58765640484296
223,65902,-243.55365663326802
224,143402,-100.41234359515704
225,141902,153.44634336673198
226,72902,21.44634336673198
227,134402,163.58765640484296
228,107202,-117.55365663326802
229,137702,239.58765640484296
230,84202,145.58765640484296
231,83502,87.58765640484296
232,116902,189.44634336673198
233,129702,-230.41234359515704
234,63902,-196.55365663326802
235,35202,-12.41234359515704
237,132902,-161.41234359515704
238,41002,211.58765640484296
239,131302,-159.55365663326802
240,142102,120.58765640484296
241,38602,-93.41234359515704
242,78402,28.44634336673198
243,60402,-262.41234359515704
244,115602,13.58765640484296
245,135402,-158.55365663326802
246,118002,157.44634336673198
247,143602,82.44634336673198
248,122202,77.44634336673198
249,98902,-95.55365663326802
250,73302,-93.41234359515704
251,109602,-103.41234359515704
252,44202,-194.55365663326802
253,35902,106.58765640484296
254,102302,-276.553656633268
255,107802,180.58765640484296
256,56402,203.58765640484296
257,60602,71.58765640484296
258,41302,-228.55365663326802
259,117902,193.58765640484296
260,86602,174.44634336673198
261,35002,196.44634336673198
